Post,Company,Experience,Level,Salary,Deadline
HR Officer,Executive Search- Merojob,More than 3 years,Mid Level,"NRs. 35,000 - 40,000 Monthly",2025-12-30
Assistant to the Asia Council Chair,Kindernothilfe (KNH),More than 2 years,Mid Level,Not Disclosed,2026-01-15
Front Desk Associate,Gurukul Commerce Academy,Less than 1 year,Entry Level,Not Disclosed,2025-12-30
Assistant / Officer,Himalayan Everest Insurance,More than 1 year,Mid Level,Not Disclosed,2025-12-30
FLM Coordinator,ZTE Nepal,More than 8 years,Senior Level,Not Disclosed,2025-12-30
Logistic Coordinator / Spare Parts Coordinator,ZTE Nepal,More than 5 years,Senior Level,Not Disclosed,2025-12-30
People and Culture Manager,Maatri Nepal,More than 4 years,Mid Level,Not Disclosed,2025-12-15
Senior Accountants,Kathmandu Commerce & Trade (Bravo),More than 2 years,Senior Level,Not Disclosed,2025-12-27
Admission Officer (UK and Australia),Graduate Studio Counselling Center,More than 1 year,Mid Level,Not Disclosed,2025-12-26
Retail Salesperson,JJ Marble,More than 1 year,Mid Level,"NRs. 25,000 Monthly",2025-12-29
Marketing Representative,Siddhartha Hardwares,More than 2 years,Mid Level,Not Disclosed,2025-12-27
General Support Executive,Nepal Digital Payments Company Limited,More than 1 year,Entry Level,Not Disclosed,2025-12-16
Principal,Asian World School,More than 5 years,Senior Level,Not Disclosed,2025-12-16
Education Counselor,Click Consulting Group,More than 2 years,Mid Level,"NRs. 70,000 - 120,000 Monthly",2025-12-27
Market Representative,Kathmandu Commerce & Trade (Bravo),More than 1 year,Mid Level,Not Disclosed,2025-12-27
Intern,E-Spot Nepal,Not Required,Entry Level,Not Disclosed,2025-12-18
HR Executive,Millsberry School,More than 5 years,Senior Level,Not Disclosed,2025-12-27
Education Counselor,Vivid Education,More than 1 year,Mid Level,"NRs. 325,000 - 750,000 Yearly",2025-12-26
Marketing Executive,Siddhartha Hardware and Suppliers,More than 2 years,Mid Level,Not Disclosed,2025-12-27
Sales Executive,Aircon Nepal,More than 1 year,Mid Level,Not Disclosed,2025-12-26
Business Development Officer,Campus Transfer,More than 2 years,Mid Level,"NRs. 25,000 - 50,000 Monthly",2025-12-27
Sales Officer,Times Business,More than 1 year,Mid Level,Not Disclosed,2025-12-22
Operations Head,Nepal Senior Care,More than 5 years,Mid Level,Not Disclosed,2025-12-17
Education Counselor,Visa Alliance,More than 2 years,Mid Level,Not Disclosed,2025-12-21
Sales Executive,Nepal Petro Lube Industries,Equal to 1 year,Entry Level,Not Disclosed,2025-12-26
Social Media Handler,Discovery World Trekking,More than 2 years,Mid Level,Not Disclosed,2025-12-26
Field Sales Representative,A Tobacco Company,Not Required,Entry Level,"NRs. 22,000 - 33,000 Monthly",2025-12-17
Manager,Himal Store,More than 2 years,Mid Level,"NRs. 30,000 Monthly",2025-12-26
Sales executives,Rycon Group,More than 2 years,Mid Level,"NRs. 25,000 - 35,000 Monthly",2025-12-19
