post,company,experience,level,year,month,day,salary_min,salary_max,salary_avg
Sales Executive,Aircon Nepal,1.5,2,2025,12,26,,,
Business Development Officer,Campus Transfer,2.5,2,2025,12,27,25000.0,50000.0,37500.0
Sales Officer,Times Business,1.5,2,2025,12,22,,,
Operations Head,Nepal Senior Care,5.5,2,2025,12,17,,,
Education Counselor,Visa Alliance,2.5,2,2025,12,21,,,
Sales Executive,Nepal Petro Lube Industries,1.0,1,2025,12,26,,,
Social Media Handler,Discovery World Trekking,2.5,2,2025,12,26,,,
Field Sales Representative,A Tobacco Company,0.0,1,2025,12,17,22000.0,33000.0,27500.0
Manager,Himal Store,2.5,2,2025,12,26,30000.0,30000.0,30000.0
Sales executives,Rycon Group,2.5,2,2025,12,19,25000.0,35000.0,30000.0
GS Admissions Officer,Study Info Centre,1.5,2,2025,12,26,,,
Front Desk Officer,American Educational Research & Training Center,1.0,1,2025,12,25,,,
Content Writer,Merojob,0.5,1,2025,12,24,22000.0,22000.0,22000.0
Student Recruitment Support Officer,Executive Search- Merojob,2.5,2,2025,12,20,,,
Finance Assistant,Merojob,1.5,1,2025,12,25,22000.0,22000.0,22000.0
Data Engineer,Abacus Insights,2.5,2,2025,12,25,,,
Engineering Manager,Abacus Insights,4.5,3,2025,12,25,,,
Digital Marketing Executive,Nihon Educational and Cultural Center,1.5,2,2025,12,25,30000.0,40000.0,35000.0
Service and Application Engineer,B.S.R. Biotech,0.0,1,2025,12,25,,,
Sales Executive,Soonchandi.com,0.0,1,2025,12,18,50000.0,50000.0,50000.0
Inbound Manager,Himmalagari Travel and Tours,5.5,2,2025,12,25,50000.0,60000.0,55000.0
Preschool IB Teacher,EuroKids International,1.5,2,2025,12,15,,,
Junior System Administrator,WorldLink Communications,0.5,1,2025,12,25,,,
Junior Odoo Functional Consultant,Precision Pyramid Nepal,1.5,1,2025,12,23,,,
Sr. Project Manager / Project Manager - High Rise Building,RV Group,15.5,4,2025,12,24,,,
Admin and Documentation Officer,River Group,3.5,2,2025,12,24,,,
Account Manager (Sales Coordinator),ZTE Nepal,3.5,2,2025,12,24,,,
Public Relations Officer (PRO),Global Rising Placement,1.5,2,2025,12,24,,,
Project Manager,Dreamline Construction,1.5,2,2025,12,24,65000.0,65000.0,65000.0
Architect,Dreamline Construction,1.5,2,2025,12,24,45000.0,45000.0,45000.0
Accountant,Dreamline Construction,1.5,2,2025,12,24,30000.0,30000.0,30000.0
Student Service Officer,AIP Education,2.5,2,2025,12,24,,,
Admission / GS Officer,AIP Education,3.5,2,2025,12,24,,,
Counselor,Academics Routes Education Consultancy,1.5,2,2025,12,24,30000.0,50000.0,40000.0
Agriculture Technical Officer – Regenerative Agriculture and Permaculture,Volunteers Initiative Nepal (VIN),5.5,3,2025,12,23,50000.0,70000.0,60000.0
Customer Service Representative,Goyal Metal Industries,0.5,1,2025,12,23,,,
Junior Odoo Technical Consultant / Associate Developer,Precision Pyramid Nepal,0.0,1,2025,12,23,,,
Education Counselor,Education Network,2.5,2,2025,12,23,,,
Product Manager – Snowman Camera (Indoor),WorldLink Communications,3.5,2,2025,12,22,,,
MIS Officer,WorldLink Communications,1.5,2,2025,12,22,,,
Production Executive,Asian Paints (Nepal),2.5,2,2025,12,22,35000.0,40000.0,37500.0
Sales Executive,Mero Coding Class,1.5,1,2025,12,20,,,
Operations Manager,Future Employment Service,4.5,3,2025,12,20,,,
IELTS Instructor,Alphabet Education Consultancy,1.5,2,2025,12,20,,,
Senior Officer - Finance and Accounts,Times Business,5.5,3,2025,12,20,,,
Showroom Hostess,Times Business,1.5,2,2025,12,20,,,
Engineer – CAD and 3D Modeling,I.S.B. Engineering,0.0,1,2025,12,20,,,
Fulfillment Manager,Load Board,5.5,3,2025,12,20,,,
Head - Research Centre,Ace Group,3.5,3,2026,1,5,,,
Marketing Officer,Ace Group,1.5,2,2026,1,4,,,
Program Coordinator / Manager,Ace Group,2.5,2,2026,1,3,,,
Compliance Officer,Executive Search- Merojob,3.5,2,2025,12,19,50000.0,60000.0,55000.0
Full Stack Developer,Audit Partnership,2.5,2,2025,12,19,,,
Documentation Officer,Paradeshi Overseas Services,1.5,2,2025,12,17,,,
Sales and Marketing Executive,Nameru Trade,1.5,2,2025,12,18,25000.0,40000.0,32500.0
Administrator,East West Concern,2.5,2,2025,12,17,,,
Assistant Relationship Officer,Himal Tea Industries - Rakura Group,0.0,1,2025,12,17,25000.0,30000.0,27500.0
Software Developer,WorldLink Communications,2.0,2,2025,12,17,,,
Channel Partner Officer,WorldLink Communications,2.5,2,2025,12,16,,,
Tele Sales Executive,DHL Express Nepal,1.5,2,2025,12,17,,,
Infrastructure & Cloud Engineer,Digital Network Solution,3.5,2,2025,12,17,,,
Project Manager,Digital Network Solution,3.5,2,2025,12,17,,,
Sales Executive,Inskpire Hub,1.5,2,2025,12,17,,,
Business Development Manager,Huawei Technologies Nepal,5.5,3,2025,12,17,,,
Paralegal,Bhurtel Law Services,1.5,2,2025,12,16,,,
Nurse,Bhurtel Law Services,1.5,2,2025,12,16,,,
Computer Engineer / Computer programmer,Bhurtel Law Services,1.5,2,2025,12,16,,,
Telecom Engineer,ZTE Nepal,2.5,2,2025,12,16,,,
Customer Service Representative,Foodmandu,0.0,1,2025,12,16,,,
Personal Secretary,Revive Infrastech and Investment,2.5,2,2025,12,15,30000.0,30000.0,30000.0
नगद परिचालक (Teller),Ajambari Saving and Credit Co-operative,1.5,2,2025,12,15,,,
Sales Executive (For UK),Same Day Courier,0.0,1,2025,12,30,100000.0,120000.0,110000.0
Communications Coordinator,Women LEAD Nepal,2.5,2,2025,12,21,,,
HR Manager,Soil Test,5.5,3,2025,12,16,,,
Assistant Manager / Operation Supervisor,Stemz Healthcare Center,2.5,2,2025,12,23,50000.0,60000.0,55000.0
Saathi Teacher,Helambu Education and Livelihood Partnership,2.5,2,2025,12,25,,,
Customer Sales Representative,Insta Cover Solution,0.0,2,2025,12,16,20000.0,25000.0,22500.0
Pre-Primary Coordinator (Montessori),Shree Tarapunja English School,2.5,2,2026,1,6,,,
Business Development Associate / Bidding Officer,Soil Test,2.5,2,2025,12,12,,,
Marketing Manager,Kama Jewels,5.5,3,2025,12,12,50000.0,100000.0,75000.0
